Session Date,Session Title,Player Name,Player Primary Position,Total Distance,Distance Zone 1 (Relative),Distance Zone 2 (Relative),Distance Zone 3 (Relative),Distance Zone 4 (Relative),Distance Zone 5 (Relative),Distance Zone 6 (Relative),Distance Zone 4 - Zone 6 (Relative),Max Speed,% Max Speed,High Speed Running (Relative),HSR Per Minute (Relative),Accelerations (Relative),Accelerations Zone 3 - Zone 6 (Relative),Accelerations Zone 4 - Zone 6 (Relative),Accelerations Zone 5 - Zone 6 (Relative),Player Max Accel,Max Acceleration,Accelerations Per Min (Relative),Decelerations (Relative),Decelerations Zone 3 - Zone 6 (Relative),Decelerations Zone 4 - Zone 6 (Relative),Decelerations Zone 5 - Zone 6 (Relative),Player Max Decel,Max Deceleration,Decelerations Per Min (Relative),HML Distance,HML Efforts Total Distance,HML Efforts,HMLD Per Minute,Distance Per Min,Fatigue Index,Speed Intensity,Dynamic Stress Load,Dynamic Stress Load Zone 4 - Zone 6,Dynamic Stress Load Zone 5 - Zone 6,Collisions,Collision Load,Lower Speed Loading,Impacts Zone 3 - Zone 6 (Relative),Impacts Zone 4 - Zone 6 (Absolute),Impacts Zone 4 - Zone 6 (Relative),Impacts Zone 5 - Zone 6 (Absolute),Impacts Zone 5 - Zone 6 (Relative),Mechanical Load,Total Metabolic Power,Drill Title,Drill Start Time,Drill End Time,Total Loading
1/28/2026,Accel,Stephon Hicks,LB,2124.21,1431.88,372.83,142.66,90.69,85.2,0.96,176.85,19.66,90.1,86.16,1.44,24,36,24,19,7.28,7.33,0.4,8,19,8,1,6.23,4.29,0.13,329.97,353.52,24,5.53,35.58,1.05,93.49,98.02,37.69,30.31,1,4.74,17.71,112,32,24,18,10,5462.78,114013.28,Entire Session,2:56:22 PM,3:56:04 PM,26.81
1/28/2026,Accel,Jorden McDonald,LB,1953.98,1316.28,379.05,129.04,100.51,29.1,0,129.61,17.6,84.7,29.1,0.5,25,45,25,18,6.53,6.69,0.43,5,33,5,1,5.9,4.25,0.09,281.79,308.83,25,4.88,33.82,1.74,83.63,145.78,68.23,41.78,1,6.1,17.11,237,77,63,28,14,5192.76,103001.84,Entire Session,2:56:44 PM,3:54:30 PM,28.22
1/28/2026,Accel,Aidan Ryan,DB,3581.52,2155.88,1358.16,67.49,0,0,0,0,11.93,55.26,0,0,2,4,2,0,6.44,3.59,0.03,3,5,3,0,6.59,3.88,0.05,36.74,59.28,1,0.6,58.5,0.3,146.21,44.44,0,0,0,0,16.14,8,0,0,0,0,1066.04,154536.77,Entire Session,2:05:15 PM,3:06:29 PM,29.73
1/28/2026,Accel,Trevon Cannon,DB,2330.2,1210.85,655.92,205.49,219.85,33.97,4.12,257.94,21.14,91.08,38.09,0.63,36,50,36,23,4,7.24,0.59,9,25,9,0,4,3.96,0.15,542.32,572.05,32,8.9,38.25,0.86,110.45,94.77,23.08,5.68,0,0,19.88,136,36,30,6,0,7446.33,131495.62,Entire Session,2:05:00 PM,3:05:56 PM,37.71
1/28/2026,Accel,Branson Leduc-Mattox,DB,2572.34,1320.32,662.19,251.91,159.66,170.77,7.48,337.91,19.43,92.52,178.26,3,36,52,36,25,4,7.13,0.61,13,41,13,8,4,5.27,0.22,613.62,626.05,38,10.34,43.36,0.5,120.2,60.54,4.01,1,3,12.62,20.62,51,7,6,1,0,7882.4,144217.96,Entire Session,2:05:00 PM,3:04:20 PM,36.86
1/28/2026,Accel,Xavier Dillard,LB,2565.43,1253.55,702.74,264.85,156.65,152.97,33.61,343.23,21.77,100,186.58,2.96,41,60,41,22,4,6.37,0.65,12,45,12,0,4,3.89,0.19,632.66,649.17,32,10.02,40.63,1.01,122.45,123.43,33,8.72,6,40.98,19.99,189,56,47,9,0,7850.33,140334.38,Entire Session,2:05:00 PM,3:08:08 PM,42.53
1/28/2026,Accel,Kai Austin,WR,2268.49,1110.07,607.77,247.3,152.07,146.59,4.69,303.35,19.47,92.71,151.28,2.62,36,49,36,21,4,6.68,0.62,7,32,7,0,4,3.68,0.12,560.67,597.78,34,9.7,39.25,0.6,106.53,63.52,0.47,0,0,0,17.52,59,1,1,0,0,6702.77,127126.08,Entire Session,2:05:00 PM,3:02:48 PM,35.66
1/28/2026,Accel,Carter Carroll,QB,2583.08,1117.57,765.54,334.23,157.87,160.89,45.94,364.7,21.01,100,206.83,3.31,43,63,43,25,4,8.85,0.69,10,48,10,2,4,4.21,0.16,732.98,733.07,40,11.73,41.34,0.66,125.01,82.88,4.62,0,0,0,17.46,112,9,9,0,0,8692.68,146446.99,Entire Session,2:05:00 PM,3:07:29 PM,39.16
1/28/2026,Accel,Winston Watkins,QB,2656.45,1464.56,595.35,238.65,150.57,181.43,25.9,357.89,19.76,96.39,207.33,3.35,37,56,37,19,4,6.37,0.6,12,38,12,0,4,3.74,0.19,600.98,626.34,36,9.7,42.89,0.87,122.27,105.84,12.35,2.56,0,0,18.82,180,21,18,3,0,6962.27,141541.73,Entire Session,2:05:00 PM,3:06:56 PM,37.63
1/28/2026,Accel,Peter Martin,QB,2673.33,1099.52,1006.45,219.6,122.29,159.25,66.22,347.76,19.77,98.85,225.48,3.56,33,62,33,22,4,6.19,0.52,14,46,14,2,4,4.14,0.22,586.53,607.57,39,9.26,42.19,0.96,127.02,121.84,19.4,1.01,3,13.56,21.19,235,36,35,1,0,7067.65,144180.56,Entire Session,2:05:00 PM,3:08:22 PM,40.46
1/28/2026,Accel,Jah'kei Chavis,RB,2178.66,1112.26,577.53,202.82,141.92,130.86,13.27,286.05,20.3,96.67,144.13,2.39,35,46,35,24,4,7.13,0.58,17,33,17,5,4,4.21,0.28,509.34,541.48,37,8.46,36.2,0.85,101.73,86.94,15.38,3.41,2,4.5,17.06,132,26,23,3,0,6621.53,122833.11,Entire Session,2:05:00 PM,3:05:11 PM,32.45
1/28/2026,Accel,Leon Clark,RB,2974.95,1193.98,1108.94,356.69,143.33,158.46,13.54,315.34,19.18,95.9,172.01,2.7,37,54,37,15,4,6.37,0.58,21,40,21,0,4,3.94,0.33,575.66,584.57,33,9.04,46.74,0.57,138.77,78.52,7.16,2.95,0,0,16.9,114,11,10,2,1,7157.06,154604.29,Entire Session,2:05:00 PM,3:08:40 PM,33.91
1/28/2026,Accel,Al Honesty,WR,2602.81,1555.51,255.24,292.13,416.91,83.02,0,499.93,18.26,86.95,83.02,1.93,12,18,12,10,4,5.95,0.28,0,4,0,0,4,2.56,0,685.06,756.34,12,15.93,60.52,0.47,123.94,57.94,2.02,0,1,3.28,16.42,86,4,4,0,0,4256.6,124574.9,Entire Session,2:19:52 PM,3:02:52 PM,29.86
1/28/2026,Accel,Gavin McIntosh,WR,2461.25,1283.87,605.31,229.03,163.06,174.32,5.66,343.04,19.59,93.29,179.98,3,34,44,34,20,4,7.36,0.57,11,33,11,3,4,5.55,0.18,577.61,619.17,35,9.62,41.01,0.74,114.96,84.85,15.3,4.55,1,4.03,13.92,127,26,21,5,0,7034.91,136127.31,Entire Session,2:05:00 PM,3:05:01 PM,28.5
1/28/2026,Accel,Pryce Roberts,OL,2391.6,1787.85,430.86,115.65,48.62,8.62,0,57.24,14.2,85.54,8.62,0.07,15,29,15,6,4,5.13,0.12,0,18,0,0,4,2.85,0,158.26,166.67,19,1.25,18.83,0.64,94.42,60.35,17.02,2.45,0,0,20.73,98,31,29,2,0,3378.27,114740.88,Entire Session,2:05:00 PM,4:12:00 PM,27.89
1/28/2026,Accel,James Spainhour,OL,3662.14,2400.51,802.1,351.02,52.89,42.44,13.17,108.5,16.75,98.53,55.62,0.45,27,53,27,9,4,6.97,0.22,6,28,6,1,4,7.13,0.05,257.69,242.08,25,2.11,29.92,0.59,149.74,89.04,24.77,16.06,0,0,24.83,137,28,18,13,3,6016.17,175981.94,Entire Session,2:05:00 PM,4:07:24 PM,35.01
1/28/2026,Accel,Hayden Raley,OL,1775.27,1171.5,439.17,112.38,46,6.22,0,52.22,14.76,86.11,6.22,0.1,15,35,15,6,4,5.37,0.24,1,12,1,1,4,5.91,0.02,154.2,146.94,14,2.49,28.69,0.86,72.13,62.33,16.23,5.55,0,0,14.19,123,27,22,5,0,3431.32,88342.51,Entire Session,2:53:44 PM,3:55:36 PM,21.47
